art,t,bpm,s
Sangatsu no Phantasia,Collage (TV Size),138,805425
Christell,Dubidubidu (Cut Ver.),148,2166403
Nanahira,Frightfully-insane Flan-chan's frightful song,170,35375
Ni-Sokkususu,Blade Dance,187,680533
JIN ft. Shoichi Taguchi (Sentimental Vector),Kagerou Days,192,515670
supercell,Kimi no Shiranai Monogatari,165,270407
Okazaki Taiiku,Kimi no Bouken (TV Size),200,874835
Madotsuki@,Ikanaide,191,315799
TWICE,CHEER UP,173,456547
saradisk,222 - wewewe,180,1114649
Apocalyptica,Reign of Fear,182,347136
ClariS,reunion (TV Size),135,84458
Kana Nishino,Darling,160,739368
Shiki Natsume (CV: Kanako),Sweetest Bitterness (Short Ver.),156,1578922
S3RL,Pika Girl,175,40440
yuikonnu,Heart no Atoaji,186,671293
Foreground Eclipse,Songs Compilation,200,765497
Kawada Mami,Hishoku no Sora (TV Size),169,240919
M.Iz,Kakenukeru Anime Song Medley IV,192,297110
yuikonnu,caramel heaven,194,297969
Shiena Nishizawa,Brand-new World,205,362321
senya,Replica no Koi,133,67506
Chitose Sara,Merry Merry Go Round,185,469475
Mio Yamazaki,Noise (English ver.),225,702892
yaseta,Bluenation,180,707032
Ando Hirokazu,Gourmet Race,186.75,1608572
ensou ft. GUMI,COMA,180,167740
Orangestar,Asu no Yozora Shoukaihan,185,219728
S3RL feat Tamika,I Will Pick You Up,175,235093
Tatsh,Xevel,185,1254404
Pendulum,The Island (MaxNRG Remix),174,48284
TUYU,Loser Girl,186,1333508
toby fox,Hopes and Dreams,170.68,373373
YOASOBI,Kaibutsu,170,1355471
TwoThirds,Breathe,173,124458
Parry Gripp,I Wanna Guinea Pig For Christmas,190,1324247
Sagara Kokoro,Hoshizora no Ima,185,701549
Our Stolen Theory,United (L.A.O.S Remix),175,953303
ASIAN KUNG-FU GENERATION,Re:Re:,155,426992
AKINO from bless4,Just Moving On Now,185,302054
EGOIST,Namae no Nai Kaibutsu,180,69137
Amatsuki,Nagareboshi,176,1266531
Mrs. GREEN APPLE,Ao to Natsu,185,1216255
senya,Omoi ga Rekishi ni Kawaru Toki,150,250309
senzawa,padowo padowo,109,1650892
Otokaze,Karen (Short Ver.),184,50177
Fujii Kaze,Shinunoga E-Wa,79,1854887
Roselia,Song I am.,190,1241753
Imperial Circus Dead Decadence,"Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo.",220,575330
Rita,Dream Walker,175,315299
Moe Shop,the new non non biyori disco groove,135,1031041
Krewella,Surrender The Throne,174,767566
Chihara Minori,Aitakatta Sora,160,323044
Jason Michael,Clifford's Theme Song,134,471889
Jun.A,The Refrain of the Lovely Great War,180,24325
Raujika,Roseo Neige,88,495334
"Chito (CV: Minase Inori), Yuuri (CV: Kubo Yurika)",More One Night (Assertive Hardcore Bootleg) (Short Ver.),170,774632
LiSA,dawn (TV Size),185,1349621
SPYAIR,Imagination (TV Size),204,1203416
R3 Music Box,Zankoku na Tenshi no These,94,874602
MYTH & ROID,TIT FOR TAT (TV Size),173,1072007
yuikonnu & CHiCO with HoneyWorks,Ai no Scenario,180,295288
Horie Yui,Asymmetry,173,361902
Will Stetson,Super Driver,200,805224
AK X LYNX ft. Veela,Virtual Paradise,174,313843
Tsuneki Hikari (CV: Sakura Ayane),Shunkan Happening (TV Size),187,741171
Amidst,Phantasy,165,724594
ALiCE'S EMOTiON,Dark Flight Dreamer,189,334469
Soleily,Renatus,182,241526
Mikakuning!,Tomadoi*Recipe,170,200176
xi,Blue Zenith (Cut Ver.),200,1737645
nameless,SLoWMoTIoN,160,295848
Porno Graffitti,THE DAY,186,459293
MY FIRST STORY,Fukagyaku Replace,199.81,342218
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,649373
Sleeping With Sirens,Better Off Dead,190,774670
Loki,Interlude,175,659093
Tama,Sonna Yume wo Mita no ~lonely dreaming girl~ (Remix),144.55,46186
Renard,PIZZZZZZZZ,200,473066
Pyxis,"Koise yo Minna, Hai! (TV Size)",160,981859
XXXTENTACION,SAD!,75,757410
MY FIRST STORY,Itazura Fiction,183,864947
Yooh,MariannE,191,285577
TOMATO GUMMY feat. Shirakami Fubuki,FINE!! (Cut Ver.),174,1298047
Sakurakou K-ON Bu,"Don't say ""lazy"" (TV size Ver.)",181,659531
LiSA,ADAMAS (TV Size),191,859608
DJ S3RL,T-T-Techno (feat. Jesskah),175,83560
GARNiDELiA,ambiguous (TV size),178,152786
TWICE,CHEER UP,173,836819
Knife Party,Give It Up,87,424397
Sharlo,Yellow,127,519335
Shiena Nishizawa,Brand-new World,205,450015
Linked Horizon,Guren no Yumiya (TV Size),180.68,87630
Feint,We Won't Be Alone (feat. Laura Brehm),175,399328
Infected Mushroom,The Pretender,174,82912
ChouCho,BLESS YoUr NAME,190,300612
B.o.B feat. Hayley Williams,Airplanes (Feint Remix),178,83494
Mage,The Words I Never Said,172,1470072
fhana,Wonder Stella,193,343020
Junichi Masuda,Sentou! Champion Iris,191.95,2239337
LiSA,Jet Rocket,178,145431
Italy(CV:Namikawa Daisuke),Hetalian*Jet,132,332576
yuikonnu,Ai no Scenario,180,282375
Qrispy Joybox feat. mao,Colorful Minutes,152,1242911
Tatsh,HEAVENLY MOON,185,46706
THE ORAL CIGARETTES,GET BACK,192,1012262
Feint,Time Bomb (feat. Veela & Boyinaband),175,98842
MitiS,Open Window (feat. Anna Yvette),170,100628
mafumafu,Inochi ni Kirawarete Iru.,200,829296
kis-kis,ne uchi (Cut Ver.),195,1331950
Matsumoto Tamaki,Tenshi Teki Kenpou Yonjou,130,43100
The Winking Owl,Bloom,196,602408
CLIFF EDGE feat. Nakamura Maiko,Endless Tears,99,123489
Ito Kanako,Skyclad no Kansokusha,167,352726
NAMCO,RUN!RUN!RUN!,180,323751
Kyary Pamyu Pamyu,PONPONPON,128,980453
Kugimiya Rie. Horie Yui. Kitamura Eri,Orange (GoldenWolf Edit),140,747535
Mariya Nishiuchi,Don't let me down,132,470741
3 Nen E Gumi Utatan,Bye Bye YESTERDAY (TV Size),180,1332626
Ado,New Genesis,175,1830890
Linked Horizon,Guren no Yumiya,180.68,105656
Poppin'Party,KIZUNA MUSIC,189,1832955
Maki Ligon & Karamitasu,Touhou vs. Fortnite Dance Compilation,200,872310
senya,Saihate no Kotoba,155,174417
LiSA,Rally Go Round -TV ver.-,190,302343
Yasuda Rei,Tweedia,126,346499
tyDi (Feat. RUNAGROUND),'Chase You Down',123,317273
MYTH & ROID,Paradisus-Paradoxum,201,477640
Yorushika,Itte.,180,985066
Yamajet feat. Hiura Masako,Sunglow,180,2116958
AliA,utopia,190,1117851
DJ OKAWARI,Flower Dance,100,476691
SPYAIR,I'M A BELIEVER,194,363579
Foreground Eclipse,Storytellers,183,311328
EGOIST,The Everlasting Guilty Crown -TV Edit-,172,173234
fripSide,floral summer,146,1015513
Aoshima Moka (CV: Mimori Suzuko),kibo refrain,172,715596
September,Satellites,129,144804
Masafumi Ogata,"Collision Chaos ""P"" mix",127.15,499809
Sub Focus,Tidal Wave (feat. Alpines),174,296817
shoujo byou,Gareki no Shuuon,203,1445131
Stefan Karl Stefansson & Mani Svavarsson,We are Number One,162,534404
The Living Tombstone,It's Been So Long,96,366864
cYsmix,Little Knight,160,791845
positive MAD-crew,Mynarco,181,1253246
Shokotan Daisuki Dempagumi,PUNCH LINE!,185,874345
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,976908
Rameses B,Neon Rainbow (ft. Anna Yvette),174,446332
ASIAN KUNG-FU GENERATION,Blood Circulator,183,736506
Yuki Kajiura,absolute configuration,155,457805
YOASOBI,Shukufuku (TV Size),170,1860627
SUPER BEAVER,Rashisa,168,190486
MYTH & ROID,Paradisus-Paradoxum,201,514181
Seraph,Resurrection,188,831738
Saint Snow,DROPOUT!?,182,1115534
THE ORAL CIGARETTES,Monster Effect,186,845746
Himeragi Yukina (CV: Taneda Risa),Scarlet Flower,190,431983
DragonForce,Above the Winter Moonlight,200,419588
Will Stetson,First Storm -Japanese Version-,190,1210496
Hiromi Sato,Jiyuu no Hane,96,561640
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,567163
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,917930
Our Stolen Theory,United (L.A.O.S Remix),175,237768
Primastella,Koigokoro,140,750963
fhana,calling,71,481927
Imai Asami,Asayake no Starmine (Anime Ver.),130,328095
DM Ashura,Classical Insanity,175,79149
Kano,Setsuna Plus,155,814371
Hyper Potions,Time Trials,175,735903
YURiKA,Shiny Ray (TV Size),183,584389
AKINO from bless4,MIIRO (TV Size),195,993307
ZYTOKINE,Dancing Dollz feat. cold kiss - REDALiCE Remix,175,690966
Kano,Dear Brave,188,753356
Yuzuki,Dear You (DJ Genericname DnB Remix),174.1,720066
Doxx & Feint,Mind In Motion,178,222565
Hata Motohiro,Toumei Datta Sekai,168,520772
Tsukasa,Accelerator,186,46084
Sasaki Shiori,Harenohi Step short ver.,135,735860
Ito Kanako,Fatima (TV Size),179,898005
Kicco,Kokoro Hare (Short Ver.),135,32139
Avicii,Levels (Nightcore Mix),140.81,55644
Luck Life,Kaze ga Fuku Machi (TV size),198,713944
PassCode,Ray,196,1180927
SawanoHiroyuki[nZk]:mizuki,aLIEz (TV size),99,211586
u's,Susume*Tomorrow (TV Size),190,228109
Victorius,Twilight Skies,180,1016145
Ayane,FaV -F*** and Vanguard-,190,494460
Konohana-tei Nakai no Kai,"Haru Urara, Kimi to Sakihokoru (TV Size)",180,979801
Silent Siren,Routine,176,811298
Super Chorogons,Maid with Dragons (TV Size),140,1514404
HoneyWorks,Boku ga Namae o Yobu Hi feat.Mochizuki Souta (CV:Kaji Yuki),190,572790
Panda Eyes & Teminite,Highscore,110,332532
Suzuki Konomi,Redo,190,456524
Ushirokara Haiyoritai G,Taiyou Iwaku Moeyo Chaos,143,52853
Aimer,closer,90,1013478
Masayoshi Minoshima,Flight of the Bamboo Cutter,190,47754
JIN,Additional Memory,200,848963
MuryokuP,Catastrophe,200,72740
Hanatan,Kokoronashi,168.16,449760
Yoomiii,Rhythm Of Love,130,102071
Linkin Park,Guilty All The Same (feat. Rakim),200,342472
Jason Hayes,Enchanted Forest,150,147714
Ito Kanako,Fatima (TV Size),179,763819
Oskar Schuster,Fjarlaegur (Cypix Remix),63,303189
iKz,Huan Xiang Xiang Di Yi Tao Guang Bo Ti Cao,180,513294
55x55,MRAZ' (feat. Larin),120,635171
Sound Horizon,Raijin no Migiude,172,27573
WEAVER,Kuchizuke Diamond,164,303762
nano,"Star light, Star bright (TV Size)",190,890279
Demetori,Kuuchuu ni Shizumu Kishinjou ~ Counter-Clock World,185,347719
"Wake Up, May'n!",One In A Billion,187,1264800
Levaslater,NNRT,202,47330
Kano,Prima Stella,180,445983
Ci Mei Gui,Wu Xuan Lan,167.91,336173
*namirin,Daidai Genome,135,2171754
IOSYS,"The Lovely, Freezing, Tomboyish Bath, Cirno's Hot Spring",188,27107
Hanatan,Attakain Dakara,170,388403
Watarirouka Hashiritai,Kanpeki Gu~no ne (TV Size),182,952498
cillia,FIRST,190,171388
Lucky Twice,Lucky (Nightcore Mix),150,1641849
LilDeuceDeuce,EVERYBODY DO THE FLOP,200,1920362
YURiMental,Kinou ni Kanaderu Ashita no Uta (Cut Ver.),193,1507386
Demetori,Seijouki no Pierrot ~ The MadPiero Laughs,191,661333
Snails & Pegboard Nerds,Deep In The Night,150,513194
Halozy,K.O.K.O.R.O,178,114220
Survive Said The Prophet,MUKANJYO (TV Size),190,1002317
MY FIRST STORY,Missing You,190,477251
Komiya Mao,(can you) understand me?,185,409898
3R2,Starting Forest,143,909559
Porno Graffitti,Melissa (TV size ver.),170,423500
Fractal Dreamers,Scarlet Night,175,986376
Illenium,Fractures (ft. Nevve),160,747671
Saiya,Remote Control,165,530445
Tenshi (CV: Matsumoto Tamaki),Tenshi-teki Kenpou Yon-jou (TV Size),130,786761
HERO,Tenohira,207,325673
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,591987
Nakanoke no Itsutsugo,Gotoubun no Katachi (TV Size),158,1324491
YOASOBI,Yoru ni Kakeru,130,1218852
Aimer,Brave Shine,85.5,475538
Amatsuki,DORAEMON,160,1210297
Nanamori-chu * Goraku-bu,My Pace de Ikimashou,190,36569
senya,Kanjou Chemistry (Drum 'n' Bass Remix),174,92509
KISIDA KYODAN & THE AKEBOSI ROCKETS,Shitteru? Madousho wa Donki ni mo Naru no yo,190,922004
Afilia Saga,Neptune*Sagashite,145,332082
FELT,Flower Flag (MZC Echoes the Spring Liquid Mix),170,55945
Survive Said The Prophet,found & lost (TV Size),208,816544
NOMA,Brain Power,170,546384
Tarpey,Close Call,172,403612
Matrix & Futurebound,Fire (feat. Max Marshall),174,957835
ryu5150,Louder than steel,190,993306
Yousei Teikoku,Hades: The rise,210,662526
Hanasaka Yui (CV: M.A.O),Harumachi Clover (TV Size),142,933554
Uehara Rena,Todokanai Koi '13 (TV EDIT),135,231691
Red Velvet,Russian Roulette,130,510568
Chinozo,Good-bye sengen,170,1408477
hololive IDOL PROJECT,Shiny Smily Story,168,1251840
Hazuki,Legend of Millennium,192,785703
Kano,Walk This Way!,260,914242
Ogura Yui,Honey Come!! (TV size),184,330175
"Arata Iiyoshi, Hideki Sakamoto, Keisuke Ito",Boss Battle!,212,715709
Poppy,Pokemon x Poppy,148,1244395
Hotaru Murasaki,Re:TrymenT,190,519521
tomatomerde,Brave Shine,175,308945
Azusa Tadokoro,Junshin Always,180,401869
Aqua,Barbie Girl (Nightcore Mix),159.34,50134
POSHLAYA MOLLY,LOL,160,883276
Kano,Stella-rium,177,1107950
dark cat,STARS ALIGN,174,606998
Demetori,Kanjou no Matenrou ~ World's End,178,133693
CHiCO with HoneyWorks,Minikui Ikimono (TV Size),195,1342646
Machico,fantastic dreamer,185,420390
Yousei Teikoku,Destrudo,180,46349
SPYAIR,Imagination,204,186141
C-Show,Rocking to the Beat,174,305938
Wowkie Zhang,Yang Guang Cai Hong Xiao Bai Ma,96,1236694
LiSA,crossing field (TV Size),179,54373
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,944993
NIGHTMARE,Alumina (TV Size),185,1172199
Nogizaka46,Yubi Bouenkyou~Anime Ban~,180,70589
Snow Man,Stories (TV Size),177,1142363
Silent Siren,Routine,176,859606
League of Legends,A New Journey (feat. AmaLee),185,915182
Reol,Heimenkyou,100,867074
Masayuki Suzuki,DADDY ! DADDY ! DO ! feat. Airi Suzuki (TV Size),138,1307544
S.S.H.,Touhou Judgment in the Sixtieth Year ~ Fate of Sixty Years,186,20008
Alan Walker,Faded,90,396077
Aqours,Kimeta yo Hand in Hand (TV Size),191,1315700
YURiKA,Shiny Ray -TV size-,183,685287
marina,Towa yori Towa ni,200,361307
Goose house,Hikaru nara,160,440169
Bonde da Oskley,Sereia do Mar,130,240158
Omoi,Snow Drive(01.23),224,478405
RSP,The First Star,178,46342
Musashi Project & Toshiro Masuda,Ofuzake Mode,125,444793
nano,MY LIBERATION (TV Size),190,831030
fhana,Hoshi no Kakera,82,736954
StylipS,STUDYxSTUDY (TV Size),170,43013
yanaginagi,Megumi no Ame (TV Size),182,1146827
UPLIFT SPICE,Omega Rhythm,173,147962
senya,Shinkai yori Ai o Komete,160,223048
Tapimiru,Hakkensha wa Watashi (Anime Size),175,602803
SawanoHiroyuki[nZk]:mizuki,aLIEz (TV size),99,210937
Kuki Akumu,Ki ga Kurutta Noise,180,1569753
The Cro-Magnons,Totsugeki Rock,199,966062
Krewella,Say Goodbye (Sped Up & Cut Ver.),200,1620540
"Kirisaki Chitoge (CV: Touyama Nao), Onodera Kosaki (CV: Hanazawa Kana)",Taisetsu no Tsukurikata (TV Size),126,925436
3 Nen E Gumi Utatan (Nagisa & Kayano & Karuma & Isogai & Maehara),QUESTION (TV Size),177,988485
Muzzy,Endgame,175,397905
THE ORAL CIGARETTES,BLACK MEMORY,182,889313
Varien,The Silent Ones,120,476760
Hanon x Kotoha,Fuwari,164,1984719
Marina Rios,Sarishinohara,135,777891
Kansou,Nyanpasu Bang Bang,130,601442
Aoi Eir,INNOCENCE (TV Size),183,1183864
Tamura Yukari,Fantastic future (TV Size),172,89366
Wakeshima Kanon,killy killy JOKER (TV Size),180,1258913
Crayon Pop,Saturday Night,136,112214
Momohara Natsuki (CV: Murakawa Rie),Natsuzora Yell (TV Size),170,854509
"Fear, and Loathing in Las Vegas",Just Awake (TV Size),191,95638
MY FIRST STORY,Missing You,190,942978
MIMI vs. Leah Kate,10 Things I Hate About Ai no Sukima,204,1919786
KOBASOLO & Lefty Hand Cream,Zen Zen Zense,190,525926
Nanawo Akari,Dadadada Tenshi (Cut Ver.),180,1326344
MrWeebl,Narwhals,151,652142
ONE OK ROCK,We Are (Cut Ver.),148,1293912
David Wise,Title Theme,161.75,573827
The Weeknd,Blinding Lights,171,1124502
"Hikasa Youko, Uchida Maaya, Taketatsu Ayana, Akesaka Satomi",Gokujo. no Jouken (TV Size),180.2,953015
Various Artists,Songs Compilation,180,736560
Swimy,Acchi Muite,187,529551
Sasaki Sayaka,Unravel Sky,196,2187360
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,954164
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,920901
Kano,Dear Brave (TV Size),188,1709733
PORNOFIL'MY,Kto Vse Eti Lyudi?,186,1027950
Yorushika,Elma,130,992231
Alisa Takigawa,Season~TV size ver.~,159,297882
yuikonnu,Yume Chizu,176,467337
Digital Sexy,Til Death (Nightcore Mix),166.24,1002716
ALiCE'S EMOTiON,Mami Mami Zone,173,43728
CHiCO with HoneyWorks,Heart no Shuchou,185,453230
KANA-BOON,Silhouette,183,780952
fhana,little secret magic,196,465300
Poppin'Party,Live Beyond!!,190,1644775
yuikonnu,Yume Chizu,176,650057
ClariS,Hitorigoto -TV MIX-,165,596902
Aoyama Misao,Distance,136,89930
VINXIS,Sidetracked Day,188,1031435
RedMuffleR,Rubeus,200,249703
Wakeshima Kanon,Not For Sale Fossil,190,1144490
Gavin G,Climax,170,225566
Shawn Wasabi,Marble Soda,168,313718
Yorushika,Yoru Magai,180,1163834
Fujiwara Chika (CV: Kohara Konomi),Chikatto Chika Chika (TV Size),178,918580
CHiCO with HoneyWorks,Pride Kakumei,185,335503
LiSA,ADAMAS (TV Size),191,859718
Wakeshima Kanon,"world's end, girl's rondo",173,239179
fourfolium,Now Loading!!!!,193,488630
LiSA,Kimi ni Pierrot,177,441167
SawanoHiroyuki[nZk]:Tielle,Into the Sky (TV size),86,444079
Team.NEKOKAN,Airman ga Taosenai,200,732994
Nekomata Master feat. Misawa Aki,chrono diver -fragment-,185,372200
Joji,YEAH RIGHT,84.5,817776
Kurosaki Maon,Gravitation (TV Size),200,864354
Tatsh,HEAVENLY MOON,185,41874
GARNiDELiA,ambiguous (TV Size ver.),178,154847
Camellia & DJ Genki,Feelin Sky,174,414543
MIMI,Lapis Lazuli,190,1123753
Taylor Swift,Red,125,113946
DIALOGUE+,Omoide Shiritori (TV Size),172,1434635
Aimer,Brave Shine (TV size),85.5,315530
Usada Pekora,Discommunication Alien (Cut Ver.),170,1264838
Maon Kurosaki feat.TRUSTRICK,DEAD OR LIE <TV Size>,189,481696
CHiCO with HoneyWorks,Pride Kakumei,185,342242
Ogura Yui,Honey Come!! (TV size),184,360628
Last Note. feat.mirin,Fake out,215,321002
MIMI feat. wanko,Minimum,202,1846677
Mami Kawada,JOINT,180,1764643
Himeringo,Idola no Circus,181,903106
Amatsuki,DORAEMON,160,853519
PinocchioP,SLoWMoTIoN,160,1727589
Blind Guardian,A Voice In The Dark,184,1672400
IOSYS,Cirno's Perfect Math Class,175,120071
Nakanoke no Itsutsugo,Gotoubun no Kimochi,175,932291
Dancing Dolls,monochrome(Asterisk Makina Remix),175,349445
"Team ""Hanayamata""",Hana wa Odore ya Irohaniho (TVsize),160,191246
Oshimizu Nako (CV: Toyosaki Aki),Suisei Melody,118,1504648
MIMI,Shijima ni Saku (Cut Ver.),176,1400312
MY FIRST STORY,ALONE,200,395846
nameless x toa,Patchwork Staccato,139,416702
Kato Megumi (CV: Yasuno Kiyono),M flat,160,925999
Misato,Paranoid Lost,176,803535
MAXIMUM THE HORMONE,ChuChu Lovely MuniMuni MuraMura PrinPrin Boron Nururu ReroRero (Chiptune Cover),260,1114770
ReoNa,ANIMA (TV Size),193,1211739
Nanamori-chu * Goraku-bu,My Pace de Ikimashou,190,335145
Domino Brothers,Just 4 You (Nightcore Mix),169.2,373744
Aimer,Zankyo Sanka (TV Size),171,1665441
ZAQ,Sparkling Daydream (TV Size),175,60620
Naoki Miki(CV.Takahashi Rie) & Ebisuzawa Kurumi(CV.Ozawa Ari),Unhappy End World,186,507835
Sabao,Theme of Anrietta,120,35248
Memme,Plasma Gun,180,1341551
Hanatan,Attakain Dakara,170,464644
Ke$ha,Backstabber (Cut Ver.),160,1581857
SawanoHiroyuki[nZk]:mizuki,&Z,158,392118
Dreamcatcher,Eclipse (TV Size),195,1476373
mimimemeMIMI,Sayonara Usotsuki,182,395359
u's,Snow halation,173,893614
FLOW x GRANRODEO,Howling (TV Size),200,1033492
CHiCO with HoneyWorks,Wolf,190,514507
Horie Yui,Poker Face (TV Size),136,122469
Goose house,Hikaru nara -TV size-,160,221358
LiSA,Rally Go Round,190,317275
sakuzyo,Imprinting,175,290951
Kanae Asaba,Endless Starlight ~Inochi no Kirameki~ (OP ver.),181,518737
Inori Minase,Aimaimoko,133,651721
Sakamoto Maaya,Okaerinasai (tomatomerde Remix),176,179323
CHiCO with HoneyWorks,Pride Kakumei,185,336263
Nobunaga,Shinkai Shoujo,137,28050
Leah Kate,Life Sux (Sped Up Ver.),180.9,1905234
League of Legends,Flash Funk (Marshmello Remix),142,785504
Naoki Miki (CV: Takahashi Rie) & Ebisuzawa Kurumi (CV: Ozawa Ari),Unhappy End World,186,823259
Yuki Hayashi,You Say Run,175,487907
Stray Kids,TOP -Japanese ver.- (TV Size),98,1150628
LamazeP,Koi no Program Hatsudou (feat. Hatsune Miku),180,360118
Kano,Sakura no Zenya,178,992595
Tatsh feat. Ayane,Kakusei -Fractional Vision-,182,55805
nano,Nevereverland,206,621438
DECO*27,HIBANA feat. Hatsune Miku,200,671199
DJ NAGAI feat. Ayumi Nomiya,Mono Logic,186,549745
loz,Cinderella Cage -Trancecore Mix-,187,74274
Kagamine Rin & Len,Streamline Prism,134,28894
SILENT SIREN,Hachigatsu no Yoru,188,2037770
KOTOKO,Teller of World,135,95981
Nekomata Master,Avalon no Oka,158,317538
HyuN & Ritoru,Apocalypse in Love,180,891338
Faylan,Tokyo Zero Hearts,202,293563
xi remixed by cosMo@bousouP,FREEDOM DiVE [METAL DIMENSIONS],211.11,905158
Icon For Hire,Make A Move,166,506483
Parry Gripp,The Guinea Pig Is In Your Mind,180,1154585
96Neko,"Paintings? Oh, yeah.",192,57393
Shiggy Jr.,oyasumi,200,1001305
765 MILLION ALLSTARS,Brand New Theater!,177,1696855
MAN WITH A MISSION,My Hero,180,689957
DISH//,FLAME (TV Size),192,1249344
Nogizaka46,Tsuki no Ookisa (TV Size),185,862848
cYsmix feat. Emmy,Tear Rain,128,140662
Epica,Martyr of the Free Word,100,362500
"Pecorine (CV: M.A.O), Kokkoro (CV: Itou Miku), Karyl (CV: Tachibana Rika)",Connecting Happy!!,182,925078
Asterisk,Rain,175,395149
Alastair Gavin,Together Again (Commercial Cuts 2),152,228465
supercell,Mr.Downer,179,932165
Swimy,Acchi Muite (TV Size),187,1005855
sweet ARMS,I swear (TV Size),168,911245
REOL,Endless Line,95,706150
